model,fold,best_error,final_error,timestamp
wdmpa,0,2.68,2.78,20251227_110759
wdmpa,1,4.08,4.21,20251227_113216
wdmpa,2,3.96,5.28,20251227_115633
wdmpa,3,8.25,9.35,20251227_122047
wdmpa,4,4.09,4.14,20251227_124505
wdmpa,5,4.46,4.65,20251227_130922
wdmpa,6,3.52,3.60,20251227_133336
wdmpa,7,5.60,5.80,20251227_135756
wdmpa,8,5.57,5.62,20251227_142205
wdmpa,9,5.61,5.71,20251227_144620
wdmpa,10,4.41,5.93,20251227_151043
wdmpa,11,4.70,5.46,20251227_153534
wdmpa,12,6.06,6.47,20251227_160016
wdmpa,13,4.53,4.62,20251227_162452
wdmpa,14,6.88,7.69,20251227_164912
